Num Iterations,Clustering consistency,DNp Cluster Assignment
10,[1970 1275 1268 1083],[4 4 1 4 4 2 1 2 2 1 1 4]
25,[1700 1281   70  410 1086 1049],[5 5 1 5 5 2 1 2 2 1 1 5]
50,[1710 1286  180  263 1077 1080],[5 5 1 5 5 2 1 2 2 1 1 5]
75,[1707 1288 1261  263 1077],[5 5 1 5 5 2 1 2 2 1 1 5]
100,[1705 1285  448 1079 1079],[4 4 1 4 4 2 1 2 2 1 1 4]
150,[1710 1290 1263  252 1081],[5 5 1 5 5 2 1 2 2 1 1 5]
200,[1705 1293 1262  259 1077],[5 5 1 5 5 2 1 2 2 1 1 5]
250,[1708 1286 1259  268 1075],[5 5 1 5 5 2 1 2 2 1 1 5]
300,[1708 1287 1260  265 1076],[5 5 1 5 5 2 1 2 2 1 1 5]
350,[1705 1286  444 1078 1083],[4 4 1 4 4 2 1 2 2 1 1 4]
400,[1707 1282  473 1078 1056],[4 4 1 4 4 2 1 2 2 1 1 4]
450,[1710 1288  459 1076 1063],[4 4 1 4 4 2 1 2 2 1 1 4]
500,[1708 1284 1260  264 1080],[5 5 1 5 5 2 1 2 2 1 1 5]
